Delta_QALYs	Delta_Costs	Group
0.555233645	4159.614545	0 
0.55260481	3520.586706	0 
0.617568977	3111.624178	0 
0.609493424	6032.445463	0 
0.559501272	6622.279589	0 
0.627992129	5802.42411	0 
0.606222665	2807.99377	0 
0.560073654	4806.008896	0 
0.580113527	4764.445963	0 
0.578297547	6379.585844	0 
0.621268922	5454.815409	0 
0.548745262	4238.931275	0 
0.591601514	5498.55109	0 
0.5997175	3959.673287	0 
0.569407638	4135.650065	0 
0.507637014	4889.319514	0 
0.610404476	4738.494027	0 
0.569375258	3260.70487	0 
0.599502231	5511.962595	0 
0.610237307	5028.334845	0 
0.576225087	5744.027816	0 
0.599988675	9135.818193	0 
0.612845916	6790.12138	0 
0.594291983	4499.318584	0 
0.601026792	4079.297321	0 
0.607572825	6732.979339	0 
0.540100791	3301.962232	0 
0.629268973	7062.978299	0 
0.618492131	3662.980335	0 
0.611961729	5100.464531	0 
0.578566377	3538.251246	0 
0.568420834	4580.826949	0 
0.547187339	6189.434509	0 
0.636755754	4044.018314	0 
0.513303793	1489.899932	0 
0.556637004	6006.819894	0 
0.564264937	8345.101652	0 
0.565074887	4829.75798	0 
0.52229184	3463.923871	0 
0.572393588	5135.667317	0 
0.55904865	4438.6936	0 
0.596554068	3341.634551	0 
0.545037558	3939.566355	0 
0.638776192	4840.696725	0 
0.602888929	4147.809581	0 
0.646960954	3614.56122	0 
0.580819238	2857.731901	0 
0.638291372	4311.014302	0 
0.568678176	6731.189352	0 
0.589264695	4153.7386	0 
0.533635236	5272.202857	0 
0.575294311	3138.028731	0 
0.550096399	14210.85924	0 
0.534319728	7431.647019	0 
0.578459418	9432.20173	0 
0.589909947	4677.646192	0 
0.566437768	3186.850411	0 
0.529324027	3471.36974	0 
0.550576391	2923.976308	0 
0.597367669	7073.679574	0 
0.589401159	5289.189788	0 
0.580226191	3159.719866	0 
0.56508421	6566.356652	0 
0.569872521	6614.818467	0 
0.57821571	3261.11978	0 
0.577962064	6128.004895	0 
0.611160601	3873.975057	0 
0.596380051	4567.56676	0 
0.582882094	3609.653259	0 
0.531841498	6076.891717	0 
0.636672923	5054.578303	0 
0.57096201	4199.949498	0 
0.59804983	7975.880544	0 
0.572997531	4712.009425	0 
0.577558881	3280.614567	0 
0.610852652	5580.76055	0 
0.576116557	6307.385915	0 
0.618853013	3965.707594	0 
0.551938577	7760.845018	0 
0.546721276	5044.920898	0 
0.564357089	5409.935338	0 
0.562239026	3216.262468	0 
0.533890266	2900.954085	0 
0.567248486	7834.782035	0 
0.567650543	5823.089823	0 
0.550190825	4473.212865	0 
0.54958749	6796.92414	0 
0.533013834	5701.475959	0 
0.605205156	6614.1127	0 
0.578398255	4599.131821	0 
0.573787968	3045.282725	0 
0.580299873	8173.48555	0 
0.597486888	5470.767788	0 
0.599599705	4220.406426	0 
0.602070653	11153.15292	0 
0.576522713	6998.909082	0 
0.55871925	6517.379053	0 
0.567331618	5430.175687	0 
0.511180527	5242.483323	0 
0.617744764	13790.90328	0 
0.556440589	7443.592783	0 
0.596703275	2704.052294	0 
0.577950813	11211.31234	0 
0.539494562	5519.541195	0 
0.567527023	5776.133001	0 
0.586162524	3221.465424	0 
0.582188986	5876.881351	0 
0.562483007	3792.341438	0 
0.559219495	4859.283868	0 
0.606625879	6785.718753	0 
0.595263905	4458.733878	0 
0.57911634	6155.340839	0 
