Delta_QALYs,Delta_Costs,Group
0.636147896,17454.05573,0
0.630723639,16282.70763,0
0.603182958,16507.23844,0
0.637885119,14597.19435,0
0.663665756,12223.70942,0
0.627316124,19452.60419,0
0.588294567,11813.60488,0
0.611516636,14972.34551,0
0.623762077,12213.28883,0
0.669115592,15722.19749,0
0.667024362,12089.79507,0
0.630595236,16824.12487,0
0.648490209,15345.85207,0
0.597036616,14466.5757,0
0.63585919,17317.51369,0
0.574910722,14477.87935,0
0.50692813,14245.16314,0
0.598387077,17800.82393,0
0.648907101,16242.66429,0
0.555773994,12891.256,0
0.643496036,15554.85105,0
0.576578744,15969.58312,0
0.603891714,15678.35175,0
0.565272062,14648.81323,0
0.56547514,18888.71651,0
0.637126989,11517.47072,0
0.609326107,14216.78715,0
0.561979567,11051.15481,0
0.578270863,18305.79944,0
0.551033378,15001.07719,0
0.622021987,15079.66227,0
0.617039781,20260.60797,0
0.66092433,17082.71703,0
0.61244339,14976.46796,0
0.570017517,12828.75962,0
0.62741432,18405.76605,0
0.662568209,16563.13925,0
0.578893555,10084.30081,0
0.534409433,13045.20783,0
0.679030258,13563.24953,0
0.588023682,11463.42344,0
0.592648007,12012.73013,0
0.624889678,11963.35615,0
0.55897013,12522.25932,0
0.598146192,12870.9776,0
0.578567835,13034.94251,0
0.637678368,15667.68277,0
0.480402227,10846.3144,0
0.609572699,16169.50338,0
0.607350322,16112.67441,0
0.601407654,19009.94992,0
0.604642909,16542.46436,0
0.613435183,12946.93815,0
0.629458325,12293.24124,0
0.589511146,13766.33654,0
0.688818448,16958.63684,0
0.662913395,12495.58921,0
0.630847367,16297.30208,0
0.55733711,14495.06159,0
0.613670532,16891.4698,0
0.577850427,11514.35425,0
0.614920958,14935.05022,0
0.682755165,23083.23877,0
0.647103998,14195.00745,0
0.563793814,14770.45793,0
0.621216912,15515.7938,0
0.641357383,14650.94198,0
0.497585057,14036.4451,0
0.585323998,11905.54173,0
0.59209405,12745.30627,0
0.639061256,15244.1673,0
0.65914786,15510.84586,0
0.515226029,11187.12536,0
0.60160138,14010.20591,0
0.639710286,17108.23228,0
0.589571618,16233.62765,0
0.645688486,13425.30256,0
0.612037123,21217.29351,0
0.642460989,18420.95833,0
0.657241003,15621.61807,0
0.581807587,15881.91587,0
0.705461671,15507.98843,0
0.620798357,17190.47375,0
0.665705223,17865.41265,0
0.666333253,13664.49596,0
0.620928357,15541.74779,0
0.624520615,14046.80168,0
0.659355491,14142.49923,0
0.60783808,14153.75046,0
0.654796592,13044.52397,0
0.611120633,14970.24006,0
0.604307973,18767.23574,0
0.592452653,17765.4644,0
0.645093465,15384.78474,0
0.645432101,14553.31757,0
0.666091878,15389.73863,0
0.670994446,15487.15528,0
0.638014958,13991.78059,0
0.687413739,14347.67066,0
0.576444746,16359.61581,0
0.634882791,19868.4973,0
0.637767639,13094.05163,0
0.576728463,16117.29126,0
0.637323217,12979.32734,0
0.632524903,15313.49934,0
0.546273422,15883.13036,0
0.657114647,17053.76968,0
0.563853668,12919.25209,0
0.606253543,14271.3609,0
0.561131251,11801.04438,0
0.598032768,16720.04692,0
0.656258222,14713.70707,0
0.666701057,17723.80409,0
0.564488325,13936.32916,0
0.509667203,8441.522488,0
0.637950201,14641.99575,0
0.592507712,11831.75934,0
0.556459913,15685.81305,0
0.655252728,14763.49071,0
0.620438254,13137.49665,0
0.598388183,16470.62606,0
0.61413917,11912.40031,0
0.62391459,15258.32505,0
0.6157361,16036.2987,0
0.611673722,11639.50134,0
0.575739189,13698.2971,0
0.59736688,15437.59592,0
0.543691723,13525.27444,0
0.605302244,19598.41106,0
0.678350308,15109.02743,0
0.656338009,18605.56266,0
0.611538824,13054.68996,0
0.466718715,9155.834893,0
0.553417451,13761.08668,0
0.596775417,17156.86301,0
0.614299402,18411.52054,0
0.629570962,12436.22152,0
0.69166986,15548.51248,0
0.582926607,12594.34032,0
0.613705988,11730.41877,0
0.655749141,16559.81886,0
0.6825869,14939.17655,0
0.677046317,13440.56925,0
0.601629941,20060.04536,0
0.603284905,12274.14611,0
0.64719352,13540.0194,0
0.622422446,13524.986,0
0.590758557,14541.38177,0
